"","queryHits","subjectHits","locus"
"135",1,87711,"BnaA03g20810D"
"136",1,87712,"BnaA03g20800D"
"137",1,87713,"BnaA03g20790D"
"138",1,87714,"BnaA03g20780D"
"139",1,87715,"BnaA03g20770D"
"140",1,87716,"BnaA03g20760D"
"141",1,87717,"BnaA03g20750D"
"142",1,87718,"BnaA03g20740D"
"143",1,87719,"BnaA03g20730D"
"144",1,87720,"BnaA03g20720D"
"145",1,87721,"BnaA03g20710D"
"146",1,87722,"BnaA03g20700D"
"147",1,87723,"BnaA03g20690D"
"148",1,87724,"BnaA03g20680D"
"149",1,87725,"BnaA03g20670D"
"150",1,87726,"BnaA03g20660D"
"151",1,87727,"BnaA03g20650D"
"152",1,87728,"BnaA03g20640D"
"153",1,87729,"BnaA03g20630D"
"154",1,87730,"BnaA03g20620D"
"155",1,87903,"BnaC07g23570D"
"156",1,87904,"BnaC07g23580D"
"157",1,87905,"BnaC07g23590D"
"158",1,87906,"BnaC07g23600D"
"159",1,87907,"BnaC07g23610D"
"160",1,87908,"BnaC07g23620D"
"161",1,87909,"BnaC07g23630D"
"162",1,87910,"BnaC07g23640D"
"163",1,87911,"BnaC07g23650D"
"164",1,87912,"BnaC07g23660D"
"165",1,87913,"BnaC07g23670D"
"166",1,87914,"BnaC07g23680D"
"167",1,87915,"BnaC07g23690D"
"168",1,87916,"BnaC07g23700D"
"169",1,87917,"BnaC07g23710D"
"170",1,87918,"BnaC07g23720D"
"171",1,87919,"BnaC07g23730D"
"172",1,87920,"BnaC07g23740D"
"173",1,87921,"BnaC07g23750D"
"174",1,87922,"BnaC07g23760D"
"175",1,87923,"BnaC07g23770D"
"176",1,87924,"BnaC07g23780D"
"177",1,87925,"BnaC07g23790D"
"178",1,87926,"BnaC07g23800D"
"179",1,87927,"BnaC07g23810D"
"180",1,87928,"BnaC07g23820D"
"181",1,87929,"BnaC07g23830D"
"182",1,87930,"BnaC07g23840D"
"183",1,87931,"BnaC07g23850D"
"184",1,87932,"BnaC07g23860D"
"185",1,87933,"BnaC07g23870D"
"186",1,87934,"BnaC07g23880D"
"187",1,87935,"BnaC07g23890D"
"188",1,87936,"BnaC07g23900D"
"189",1,87937,"BnaC07g23910D"
"190",1,87938,"BnaC07g23920D"
"191",1,87939,"BnaC07g23930D"
"192",1,87940,"BnaC07g23940D"
"193",1,87941,"BnaC07g23950D"
"194",1,87942,"BnaC07g23960D"
"195",1,87943,"BnaC07g23970D"
"196",1,87944,"BnaC07g23980D"
"197",1,87945,"BnaC07g23990D"
"198",1,87946,"BnaC07g24000D"
"199",1,87947,"BnaC07g24010D"
"200",1,87948,"BnaC07g24020D"
"201",1,87949,"BnaC07g24030D"
"202",1,87950,"BnaC07g24040D"
"203",1,87951,"BnaC07g24050D"
"204",1,87952,"BnaC07g24060D"
"205",1,87953,"BnaC07g24070D"
"206",1,87954,"BnaC07g24080D"
"207",1,87955,"BnaC07g24090D"
"208",1,87956,"BnaC07g24100D"
"209",1,87957,"BnaC07g24110D"
"210",1,87958,"BnaC07g24120D"
"211",1,87959,"BnaC07g24130D"
"212",1,87960,"BnaC07g24140D"
"213",1,87961,"BnaC07g24150D"
"214",1,87962,"BnaC07g24160D"
"215",1,87963,"BnaC07g24170D"
"216",1,87964,"BnaC07g24180D"
"217",1,87965,"BnaC07g24190D"
"218",1,87966,"BnaC07g24200D"
"219",1,87967,"BnaC07g24210D"
"220",1,87968,"BnaC07g24220D"
"221",1,87969,"BnaC07g24230D"
"222",1,87970,"BnaC07g24240D"
"223",1,87971,"BnaC07g24250D"
"224",1,87972,"BnaC07g24260D"
"225",1,87973,"BnaC07g24270D"
"226",1,87974,"BnaC07g24280D"
"227",1,87975,"BnaC07g24290D"
"228",1,87976,"BnaC07g24300D"
"229",1,87977,"BnaC07g24310D"
"230",1,87978,"BnaC07g24320D"
"231",1,87979,"BnaC07g24330D"
"232",1,87980,"BnaC07g24340D"
"233",1,87981,"BnaC07g24350D"
"234",1,87982,"BnaC07g24360D"
"235",1,87983,"BnaC07g24370D"
"236",1,87984,"BnaC07g24380D"
"237",1,87985,"BnaC07g24390D"
"238",1,87986,"BnaC07g24400D"
"239",1,87987,"BnaC07g24410D"
"240",1,87988,"BnaC07g24420D"
"241",1,87989,"BnaC07g24430D"
"242",1,87990,"BnaC07g24440D"
"243",1,87991,"BnaC07g24450D"
"244",1,87992,"BnaC07g24460D"
"245",1,87993,"BnaC07g24470D"
"246",1,87994,"BnaC07g24480D"
"247",1,87995,"BnaC07g24490D"
"248",1,87996,"BnaC07g24500D"
"249",1,87997,"BnaC07g24510D"
"250",1,87998,"BnaC07g24520D"
"251",1,87999,"BnaC07g24530D"
"252",1,88000,"BnaC07g24540D"
"253",1,88001,"BnaC07g24550D"
"254",1,88002,"BnaC07g24560D"
"255",1,88003,"BnaC07g24570D"
"256",1,88004,"BnaC07g24580D"
"257",1,88005,"BnaC07g24590D"
"258",1,88006,"BnaC07g24600D"
"259",1,88007,"BnaC07g24610D"
"260",1,88008,"BnaC07g24620D"
"261",1,88009,"BnaC07g24630D"
"262",1,88010,"BnaC07g24640D"
"263",1,88011,"BnaC07g24650D"
"264",1,88012,"BnaC07g24660D"
"265",1,88013,"BnaC07g24670D"
"266",1,88014,"BnaC07g24680D"
"267",1,88015,"BnaC08g19160D"
"268",1,88016,"BnaC08g19150D"
"269",1,88017,"BnaC08g19140D"
"270",1,88018,"BnaC08g19130D"
"271",1,88019,"BnaC08g19120D"
"272",1,88020,"BnaC08g19110D"
"273",1,88021,"BnaC08g19100D"
"274",1,88022,"BnaC08g19090D"
"275",1,88023,"BnaC08g19080D"
"276",1,88024,"BnaC08g19070D"
"277",1,88025,"BnaC08g19060D"
"278",1,88026,"BnaC08g19050D"
"279",1,88027,"BnaC08g19040D"
"280",1,88028,"BnaC08g19030D"
"281",1,88029,"BnaC08g19020D"
"282",1,88030,"BnaC08g19010D"
"283",1,88031,"BnaC08g19000D"
"284",1,88032,"BnaC08g18990D"
"285",1,88033,"BnaC08g18980D"
"286",1,88034,"BnaC08g18970D"
"287",1,88035,"BnaC08g18960D"
"288",1,88036,"BnaC08g18950D"
"289",1,88037,"BnaC08g18940D"
"290",1,88038,"BnaC08g18930D"
"291",1,88039,"BnaC08g18920D"
"292",1,88040,"BnaC08g18910D"
"293",1,88041,"BnaC08g18900D"
"294",1,88042,"BnaC08g18890D"
"295",1,88043,"BnaC08g18880D"
"296",1,88044,"BnaC08g18870D"
"297",1,88045,"BnaC08g18860D"
"298",1,88046,"BnaC08g18850D"
"299",1,88047,"BnaC08g18840D"
"300",1,88048,"BnaC08g18830D"
"301",1,88049,"BnaC08g18820D"
"302",1,88050,"BnaC08g18810D"
"303",1,88051,"BnaC08g18800D"
"304",1,88052,"BnaC08g18790D"
"305",1,88053,"BnaC08g18780D"
"306",1,88054,"BnaC08g18770D"
"307",1,88055,"BnaC08g18760D"
"308",1,88056,"BnaC08g18750D"
"309",1,88057,"BnaC08g18740D"
"310",1,88058,"BnaC08g18730D"
"311",1,88059,"BnaC08g18720D"
"312",1,88060,"BnaC08g18710D"
"313",1,88061,"BnaC08g18700D"
"314",1,88062,"BnaC08g18690D"
"315",1,88063,"BnaC08g18680D"
"316",1,88064,"BnaC08g18670D"
"317",1,88065,"BnaC08g18660D"
"318",1,88066,"BnaC08g18650D"
"319",1,88067,"BnaC08g18640D"
"320",1,88068,"BnaC08g18630D"
"321",1,88069,"BnaC08g18620D"
"322",1,88070,"BnaC08g18610D"
"323",1,88071,"BnaC08g18600D"
"324",1,88072,"BnaC08g18590D"
"325",1,88073,"BnaC08g18580D"
"326",1,88074,"BnaC08g18570D"
"327",1,88075,"BnaC08g18560D"
"328",1,88076,"BnaC08g18550D"
"329",1,88077,"BnaC08g18540D"
"330",1,88078,"BnaC08g18530D"
"331",1,88079,"BnaC08g18520D"
"332",1,88080,"BnaC08g18510D"
"333",1,88081,"BnaC08g18500D"
"334",1,88082,"BnaC08g18490D"
"335",1,88083,"BnaC08g18480D"
"336",1,88084,"BnaC08g18470D"
"337",1,88085,"BnaC08g18460D"
"338",1,88086,"BnaC08g18450D"
"339",1,88087,"BnaC08g18440D"
"340",1,88088,"BnaC08g18430D"
"341",1,88089,"BnaC08g18420D"
"342",1,88090,"BnaC08g18410D"
"343",1,88091,"BnaC08g18400D"
"344",1,88092,"BnaC08g18390D"
"345",1,88093,"BnaC08g18380D"
"346",1,88094,"BnaC08g18370D"
"347",1,88095,"BnaC08g18360D"
"348",1,88096,"BnaC08g18350D"
"349",1,88097,"BnaC08g18340D"
"350",1,88098,"BnaC08g18330D"
"351",1,88099,"BnaC08g18320D"
"352",1,88100,"BnaC08g18310D"
"353",1,88101,"BnaC08g18300D"
"354",1,88102,"BnaC08g18290D"
"355",1,88103,"BnaC08g18280D"
"356",1,88104,"BnaC08g18270D"
"357",1,88105,"BnaC08g18260D"
"358",1,88106,"BnaC08g18250D"
"359",1,88107,"BnaC08g18240D"
"360",1,88108,"BnaC08g18230D"
"361",1,88109,"BnaC08g18220D"
"362",1,88110,"BnaC08g18210D"
"363",1,88111,"BnaC08g18200D"
"364",1,88112,"BnaC08g18190D"
"365",1,88113,"BnaC08g18180D"
"366",1,88114,"BnaC08g18170D"
"367",1,88115,"BnaC08g18160D"
"368",1,88116,"BnaC08g18150D"
"369",1,88117,"BnaC08g18140D"
"370",1,88118,"BnaC08g18130D"
"371",1,88119,"BnaC08g18120D"
"372",1,88120,"BnaC08g18110D"
"373",1,88315,"BnaC08g16160D"
"374",1,88316,"BnaC08g16150D"
"375",1,88317,"BnaC08g16140D"
"376",1,88318,"BnaC08g16130D"
"377",1,88319,"BnaC08g16120D"
"378",1,88320,"BnaC08g16110D"
"379",1,88321,"BnaC08g16100D"
"380",1,88322,"BnaC08g16090D"
"381",1,88323,"BnaC08g16080D"
"382",1,88324,"BnaC08g16070D"
"383",1,88325,"BnaC08g16060D"
"384",1,88326,"BnaC08g16050D"
"385",1,88327,"BnaC08g16040D"
"386",1,88328,"BnaC08g16030D"
"387",1,88329,"BnaC08g16020D"
"388",1,88330,"BnaC08g16010D"
"389",1,88331,"BnaC08g16000D"
"390",1,88332,"BnaC08g07230D"
"391",1,88333,"BnaC08g07240D"
"392",1,88334,"BnaC08g07250D"
"393",1,88335,"BnaC08g07260D"
"394",1,88336,"BnaC08g07270D"
"395",1,88337,"BnaC08g07280D"
"396",1,88338,"BnaC08g07290D"
"397",1,88339,"BnaC08g07300D"
"398",1,88340,"BnaC08g07310D"
"399",1,88341,"BnaC08g07320D"
"400",1,88342,"BnaC08g07330D"
"401",1,88343,"BnaC08g07340D"
"402",1,88344,"BnaC08g07350D"
"403",1,88345,"BnaC08g07360D"
"404",1,88346,"BnaC08g07370D"
"405",1,88347,"BnaC08g07380D"
"406",1,88348,"BnaC08g07390D"
"407",1,88349,"BnaC08g07400D"
"408",1,88350,"BnaC08g07410D"
"409",1,88351,"BnaC08g07420D"
"410",1,88352,"BnaC08g07430D"
"411",1,88353,"BnaC08g07440D"
"412",1,88354,"BnaC08g07450D"
"413",1,88355,"BnaC08g07460D"
"414",1,88356,"BnaC08g07470D"
"415",1,88357,"BnaC08g07480D"
"416",1,88358,"BnaC08g07490D"
"417",1,88359,"BnaC08g07500D"
"418",1,88360,"BnaC08g07510D"
"419",1,88361,"BnaC08g07520D"
"420",1,88362,"BnaC08g07530D"
"421",1,88363,"BnaC08g07540D"
"422",1,88364,"BnaC08g07550D"
"423",1,88365,"BnaC08g07560D"
"424",1,88366,"BnaC08g07570D"
"425",1,88367,"BnaC08g07580D"
"426",1,88368,"BnaC08g07590D"
"427",1,88369,"BnaC08g07600D"
"428",1,88370,"BnaC08g07610D"
"429",1,88371,"BnaC08g07620D"
"430",1,88372,"BnaC08g07630D"
"431",1,88373,"BnaC08g07640D"
"432",1,88374,"BnaC08g07650D"
"433",1,88375,"BnaC08g07660D"
"434",1,88376,"BnaC08g07670D"
"435",1,88377,"BnaC08g07680D"
"436",1,88378,"BnaC08g07690D"
"437",1,88379,"BnaC08g07700D"
"438",1,88380,"BnaC08g07710D"
"439",1,88381,"BnaC08g07720D"
"440",1,88382,"BnaC08g07730D"
"441",1,88383,"BnaC08g07740D"
"442",1,88384,"BnaC08g07750D"
"443",1,88385,"BnaC08g07760D"
"444",1,88386,"BnaC08g07770D"
"445",1,88387,"BnaC08g07780D"
"446",1,88388,"BnaC08g07790D"
"447",1,88389,"BnaC08g07800D"
"448",1,88390,"BnaC08g07810D"
"449",1,88391,"BnaC08g07820D"
"450",1,88392,"BnaC08g07830D"
"451",1,88393,"BnaC08g07840D"
"452",1,88394,"BnaC08g07850D"
"453",1,88395,"BnaC08g07860D"
"454",1,88396,"BnaC08g07870D"
"455",1,88397,"BnaC08g07880D"
"456",1,88398,"BnaC08g07890D"
"457",1,88399,"BnaC08g07900D"
"458",1,88400,"BnaC08g07910D"
"459",1,88401,"BnaC08g07920D"
"460",1,88402,"BnaC08g07930D"
"461",1,88403,"BnaC08g07940D"
"462",1,88404,"BnaC08g07950D"
"463",1,88405,"BnaC08g07960D"
"464",1,88406,"BnaC08g07970D"
"465",1,88407,"BnaC08g07980D"
"466",1,88408,"BnaC08g07990D"
"467",1,88409,"BnaC03g04380D"
"468",1,88410,"BnaC03g04390D"
"469",1,88411,"BnaC03g04400D"
"470",1,88412,"BnaC03g04410D"
"471",1,88413,"BnaC03g04420D"
"472",1,88414,"BnaC03g04430D"
"473",1,88415,"BnaC03g04440D"
"474",1,88416,"BnaC03g04450D"
"475",1,88417,"BnaC03g04460D"
"476",1,88723,"BnaC03g07520D"
"477",1,88724,"BnaC03g07530D"
"478",1,88725,"BnaC03g07540D"
"479",1,88726,"BnaC03g07550D"
"480",1,88727,"BnaC03g07560D"
"481",1,88728,"BnaC03g07570D"
"482",1,88729,"BnaC03g07580D"
"483",1,88730,"BnaC03g07590D"
"484",1,88946,"BnaC03g09750D"
"485",1,88947,"BnaC03g09760D"
"486",1,88948,"BnaC03g09770D"
"487",1,88949,"BnaC03g09780D"
"488",1,88950,"BnaC03g09790D"
"489",1,88951,"BnaC03g09800D"
"490",1,88952,"BnaC03g09810D"
"491",1,88953,"BnaC03g09820D"
"492",1,88954,"BnaC03g09830D"
"493",1,88955,"BnaC03g09840D"
"494",1,88956,"BnaC03g09850D"
"495",1,88957,"BnaC03g09860D"
"496",1,88958,"BnaC03g09870D"
"497",1,88959,"BnaC03g09880D"
"498",1,88960,"BnaC03g09890D"
"499",1,88961,"BnaC03g09900D"
"500",1,88962,"BnaC03g09910D"
"501",1,88963,"BnaC03g09920D"
"502",1,88964,"BnaC03g09930D"
"503",1,88965,"BnaC03g09940D"
"504",1,88966,"BnaC03g09950D"
"505",1,88967,"BnaC03g09960D"
"506",1,88968,"BnaC03g09970D"
"507",1,88969,"BnaC03g09980D"
"508",1,88970,"BnaC03g09990D"
"509",1,88971,"BnaC03g10000D"
"510",1,88972,"BnaC03g10010D"
"511",1,88973,"BnaC03g10020D"
"512",1,88974,"BnaC03g10030D"
"513",1,88975,"BnaC03g10040D"
"514",1,88976,"BnaC03g10050D"
"515",1,88977,"BnaC03g10060D"
"516",1,88978,"BnaC03g10070D"
"517",1,88979,"BnaC03g10080D"
"518",1,88980,"BnaC03g10090D"
"519",1,88981,"BnaC03g10100D"
"520",1,88982,"BnaC03g10110D"
"521",1,88983,"BnaC03g10120D"
"522",1,88984,"BnaC03g10130D"
"523",1,88985,"BnaC03g10140D"
"524",1,88986,"BnaC03g10150D"
"525",1,88987,"BnaC03g10160D"
"526",1,88988,"BnaC03g10170D"
"527",1,88989,"BnaC03g10180D"
"528",1,88990,"BnaC03g10190D"
"529",1,88991,"BnaC03g10200D"
"530",1,88992,"BnaC03g10210D"
"531",1,88993,"BnaC03g10220D"
"532",1,88994,"BnaC03g10230D"
"533",1,88995,"BnaC03g10240D"
"534",1,88996,"BnaC03g10250D"
"535",1,88997,"BnaC03g10260D"
"536",1,88998,"BnaC03g10270D"
"537",1,88999,"BnaC03g10280D"
"538",1,89000,"BnaC03g10290D"
"539",1,89001,"BnaC03g10300D"
"540",1,89002,"BnaC03g10310D"
"541",1,89003,"BnaC03g10320D"
"542",1,89004,"BnaC03g10330D"
"543",1,89005,"BnaC03g10340D"
"544",1,89276,"BnaC04g09480D"
"545",1,89277,"BnaC04g09490D"
"546",1,89278,"BnaC04g09500D"
"547",1,89279,"BnaC04g09510D"
"548",1,89280,"BnaC04g09520D"
"549",1,89281,"BnaC04g09530D"
"550",1,89282,"BnaC04g09540D"
"551",1,89283,"BnaC04g09550D"
"552",1,89284,"BnaC04g09560D"
"553",1,89285,"BnaC04g09570D"
"554",1,89286,"BnaC04g09580D"
"555",1,89287,"BnaC04g09590D"
"556",1,89288,"BnaC04g09600D"
"557",1,89289,"BnaC04g09610D"
"558",1,89290,"BnaC04g09620D"
"559",1,89291,"BnaC04g09630D"
"560",1,89292,"BnaC04g09640D"
"561",1,89293,"BnaC04g09650D"
"562",1,89294,"BnaC04g09660D"
"563",1,89295,"BnaC04g09670D"
"564",1,89296,"BnaC04g09680D"
"565",1,89297,"BnaC04g09690D"
"566",1,89298,"BnaC04g09700D"
"567",1,89299,"BnaC04g09710D"
"568",1,89300,"BnaC04g09720D"
"569",1,89301,"BnaC04g09730D"
"570",1,89302,"BnaC04g09740D"
"571",1,89303,"BnaC04g09750D"
"572",1,89304,"BnaC04g09760D"
"573",1,89305,"BnaC04g09770D"
"574",1,89306,"BnaC04g09780D"
"575",1,89307,"BnaC04g09790D"
"576",1,89308,"BnaC04g09800D"
"577",1,89309,"BnaC04g09810D"
"578",1,89310,"BnaC04g09820D"
"579",1,89311,"BnaC04g09830D"
"580",1,89312,"BnaC04g09840D"
"581",1,89313,"BnaC04g09850D"
"582",1,89314,"BnaC04g09860D"
"583",1,89315,"BnaC04g09870D"
"584",1,89316,"BnaC04g09880D"
"585",1,89317,"BnaC04g09890D"
"586",1,89318,"BnaC04g09900D"
"587",1,89319,"BnaC04g09910D"
"588",1,89320,"BnaC04g09920D"
"589",1,89321,"BnaC04g09930D"
"590",1,89322,"BnaC04g09940D"
"591",1,89323,"BnaC04g09950D"
"592",1,89324,"BnaC04g09960D"
"593",1,89325,"BnaC04g09970D"
"594",1,89326,"BnaC04g09980D"
"595",1,89327,"BnaC04g09990D"
"596",1,89328,"BnaC04g10000D"
"597",1,89329,"BnaC04g10010D"
"598",1,89330,"BnaC04g10020D"
"599",1,89331,"BnaC04g10030D"
"600",1,89332,"BnaC04g10040D"
"601",1,89333,"BnaC04g10050D"
"602",1,89334,"BnaC04g10060D"
"603",1,89335,"BnaC04g10070D"
"604",1,89336,"BnaC04g10080D"
"605",1,89337,"BnaC04g10090D"
"606",1,89338,"BnaC04g10100D"
"607",1,89339,"BnaC04g10110D"
"608",1,89340,"BnaC04g10120D"
"609",1,89341,"BnaC04g10130D"
"610",1,89342,"BnaC04g10140D"
"611",1,89343,"BnaC04g10150D"
"612",1,89344,"BnaC04g10160D"
"613",1,89345,"BnaC04g10170D"
"614",1,89346,"BnaC04g10180D"
"615",1,89347,"BnaC04g10190D"
"616",1,89348,"BnaC04g10200D"
"617",1,89349,"BnaC04g10210D"
"618",1,89350,"BnaC04g10220D"
"619",1,89351,"BnaC04g10230D"
"620",1,89352,"BnaC04g10240D"
"621",1,89353,"BnaC04g10250D"
"622",1,89354,"BnaC04g10260D"
"623",1,89355,"BnaC04g10270D"
"624",1,89356,"BnaC04g10280D"
"625",1,89357,"BnaC04g10290D"
"626",1,89358,"BnaC04g10300D"
"627",1,89359,"BnaC04g10310D"
"628",1,89360,"BnaC04g10320D"
"629",1,89361,"BnaC04g10330D"
"630",1,89362,"BnaC04g10340D"
"631",1,89363,"BnaC04g10350D"
"632",1,89364,"BnaC04g10360D"
"633",1,89365,"BnaC04g10370D"
"634",1,89366,"BnaC04g10380D"
"635",1,89367,"BnaC04g10390D"
"636",1,89368,"BnaC04g10400D"
"637",1,89369,"BnaC04g10410D"
"638",1,89370,"BnaC04g10420D"
"639",1,89371,"BnaC04g10430D"
"640",1,89372,"BnaC04g10440D"
"641",1,89373,"BnaC04g10450D"
"642",1,89374,"BnaC04g10460D"
"643",1,89375,"BnaC04g10470D"
"644",1,89376,"BnaC04g10480D"
"645",1,89377,"BnaC04g10490D"
"646",1,89378,"BnaC04g10500D"
"647",1,89379,"BnaC04g10510D"
"648",1,89380,"BnaC04g10520D"
"649",1,89381,"BnaC04g10530D"
"650",1,89382,"BnaC04g10540D"
"651",1,89383,"BnaC04g10550D"
"652",1,89384,"BnaC04g10560D"
"653",1,89385,"BnaC04g10570D"
"654",1,89386,"BnaC04g10580D"
"655",1,89387,"BnaC04g10590D"
"656",1,89388,"BnaC04g10600D"
"657",1,89389,"BnaC04g10610D"
"658",1,89390,"BnaC04g10620D"
"659",1,89391,"BnaC04g10630D"
"660",1,89392,"BnaC04g10640D"
"661",1,89393,"BnaC04g10650D"
"662",1,89394,"BnaC04g10660D"
"663",1,89417,"BnaC04g10890D"
"664",1,89418,"BnaC04g10900D"
"665",1,89419,"BnaC04g10910D"
"666",1,89420,"BnaC04g10920D"
"667",1,89421,"BnaC04g10930D"
"668",1,89422,"BnaC04g10940D"
"669",1,89423,"BnaC04g10950D"
"670",1,89424,"BnaC04g10960D"
"671",1,89425,"BnaC04g10970D"
"672",1,89426,"BnaC04g10980D"
"673",1,89427,"BnaC03g51630D"
"674",1,89428,"BnaC03g51620D"
"675",1,89429,"BnaC03g51610D"
"676",1,89430,"BnaC03g51600D"
"677",1,89431,"BnaC03g51590D"
"678",1,89432,"BnaC03g51580D"
"679",1,89433,"BnaC03g51570D"
"680",1,89434,"BnaC03g51560D"
"681",1,89435,"BnaC03g51550D"
"682",1,89436,"BnaC03g51540D"
"683",1,89437,"BnaC03g51530D"
"684",1,89438,"BnaC03g51520D"
"685",1,89439,"BnaC03g51510D"
"686",1,89440,"BnaC03g51500D"
"687",1,89441,"BnaC03g51490D"
"688",1,89442,"BnaC03g51480D"
"689",1,89443,"BnaC03g51470D"
"690",1,89444,"BnaC03g51460D"
"691",1,89445,"BnaC03g51450D"
"692",1,89446,"BnaC03g51440D"
"693",1,89447,"BnaC03g51430D"
"694",1,89448,"BnaC03g51420D"
"695",1,89449,"BnaC03g51410D"
"696",1,89450,"BnaC03g51400D"
"697",1,89451,"BnaC03g51390D"
"698",1,89452,"BnaC03g51380D"
